T,B6,B8,B9,B7
0,0.976364,0.977177,1.01336,0.990745
0.01,0.976364,0.977177,1.01336,0.990745
0.02,0.976364,0.977177,1.01336,0.990745
0.03,0.976364,0.977177,1.01336,0.990745
0.04,0.976364,0.977177,1.01336,0.990745
0.05,0.976364,0.977177,1.01336,0.990745
0.06,0.976364,0.977177,1.01336,0.990745
0.07,0.976364,0.977177,1.01336,0.990745
0.08,0.976364,0.977177,1.01336,0.990745
0.09,0.976364,0.977177,1.01336,0.990745
0.1,0.976364,0.977177,1.01336,0.990745
0.11,0.976364,0.977177,1.01336,0.990745
0.12,0.976364,0.977177,1.01336,0.990745
0.13,0.976364,0.977177,1.01336,0.990745
0.14,0.976364,0.977177,1.01336,0.990745
0.15,0.976364,0.977177,1.01336,0.990745
0.16,0.976364,0.977177,1.01336,0.990745
0.17,0.976364,0.977177,1.01336,0.990745
0.18,0.976364,0.977177,1.01336,0.990745
0.19,0.976364,0.977177,1.01336,0.990745
0.2,0.976364,0.977177,1.01336,0.990745
0.21,0.976364,0.977177,1.01336,0.990745
0.22,0.976364,0.977177,1.01336,0.990745
0.23,0.976364,0.977177,1.01336,0.990745
0.24,0.976364,0.977177,1.01336,0.990745
0.25,0.976364,0.977177,1.01336,0.990745
0.26,0.976364,0.977177,1.01336,0.990745
0.27,0.976364,0.977177,1.01336,0.990745
0.28,0.976364,0.977177,1.01336,0.990745
0.29,0.976364,0.977177,1.01336,0.990745
0.3,0.976364,0.977177,1.01336,0.990745
0.31,0.976364,0.977177,1.01336,0.990745
0.32,0.976364,0.977177,1.01336,0.990745
0.33,0.976364,0.977177,1.01336,0.990745
0.34,0.976364,0.977177,1.01336,0.990745
0.35,0.976364,0.977177,1.01336,0.990745
0.36,0.976364,0.977177,1.01336,0.990745
0.37,0.976364,0.977177,1.01336,0.990745
0.38,0.976364,0.977177,1.01336,0.990745
0.39,0.976364,0.977177,1.01336,0.990745
0.4,0.976364,0.977177,1.01336,0.990745
0.41,0.976364,0.977177,1.01336,0.990745
0.42,0.976364,0.977177,1.01336,0.990745
0.43,0.976364,0.977177,1.01336,0.990745
0.44,0.976364,0.977177,1.01336,0.990745
0.45,0.976364,0.977177,1.01336,0.990745
0.46,0.976364,0.977177,1.01336,0.990745
0.47,0.976364,0.977177,1.01336,0.990745
0.48,0.976364,0.977177,1.01336,0.990745
